Question,Category,Difficulty
Two Sum,Array,Easy
Valid Parentheses,String,Easy
Merge Two Sorted Lists,Linked List,Easy
Best Time to Buy and Sell Stock,Array,Easy
Valid Palindrome,String,Easy
Invert Binary Tree,Tree,Easy
Valid Anagram,String,Easy
Binary Search,Binary Search,Easy
Flood Fill,Graph,Easy
Lowest Common Ancestor of a Binary Search Tree,Tree,Easy
Balanced Binary Tree,Tree,Easy
Linked List Cycle,Linked List,Easy
Implement Queue using Stacks,Stack,Easy
First Bad Version,Binary Search,Easy
Ransom Note,String,Easy
Climbing Stairs,Dynamic Programming,Easy
Longest Palindrome,String,Easy
Reverse Linked List,Linked List,Easy
Majority Element,Array,Easy
Add Binary,Binary,Easy
Diameter of Binary Tree,Tree,Medium
Middle of the Linked List,Linked List,Easy
Maximum Depth of Binary Tree,Tree,Easy
Contains Duplicate,Array,Easy
Maximum Subarray,Array,Medium
Insert Interval,Array,Medium
01 Matrix,Matrix,Medium
K Closest Points to Origin,Heap,Medium
Longest Substring Without Repeating Characters,String,Medium
3Sum,Array,Medium
Binary Tree Level Order Traversal,Tree,Medium
Clone Graph,Graph,Medium
Evaluate Reverse Polish Notation,Stack,Medium
Course Schedule,Graph,Medium
Implement Trie (Prefix Tree),Trie,Medium
Coin Change,Dynamic Programming,Medium
Product of Array Except Self,Array,Medium
Min Stack,Stack,Medium
Validate Binary Search Tree,Tree,Medium
Number of Islands,Graph,Medium
Rotting Oranges,Graph,Medium
Search in Rotated Sorted Array,Array,Medium
Combination Sum,Backtracking,Medium
Permutations,Backtracking,Medium
Merge Intervals,Array,Medium
Lowest Common Ancestor of a Binary Tree,Tree,Medium
Time Based Key-Value Store,Hash Map,Medium
Accounts Merge,Graph,Medium
Sort Colors,Sorting,Medium
Word Break,Dynamic Programming,Medium
Partition Equal Subset Sum,Dynamic Programming,Medium
String to Integer (atoi),String,Medium
Spiral Matrix,Matrix,Medium
Subsets,Backtracking,Medium
Binary Tree Right Side View,Tree,Medium
Longest Palindromic Substring,Dynamic Programming,Medium
Unique Paths,Matrix,Medium
Construct Binary Tree from Preorder and Inorder Traversal,Array,Medium
Container With Most Water,Backtracking,Medium
Letter Combinations of a Phone Number,String,Medium
Word Search,Graph,Medium
Find All Anagrams in a String,Sorting,Medium
Minimum Height Trees,Stack,Medium
Task Scheduler,Cache,Medium
LRU Cache,Tree,Hard
Kth Smallest Element in a BST,Sliding Window,Hard
Minimum Window Substring,Tree,Hard
Serialize and Deserialize Binary Tree,Array,Hard
Trapping Rain Water,Heap,Hard
Find Median from Data Stream,Graph,Hard
Word Ladder,Math,Hard
Basic Calculator,Dynamic Programming,Hard
Maximum Profit in Job Scheduling,Heap,Hard
Merge k Sorted Lists,Stack,Hard
Largest Rectangle in Histogram,Array,Hard
